Chapter,Title,Subject,Syllabus topic,Edition,Syllabus link,Exam code,Session,Paper,Question,PDF page,Original paper link
M01,"Numbers, sequences & sets",maths,1,2024–2026,https://www.khanyisa.online/educare/syllabus/form5/EGCSE%206880%20Syllabus%20-%20Mathematics%202024%20-2026-1657607285.pdf,6880,October/November 2021,2,1(a),2,https://www.khanyisa.online/educare/exampapers/form5/2021/EGCSE%20Mathematics%202021%20Question%20Paper%202-1662016949.pdf#page=2
M01,"Numbers, sequences & sets",maths,1,2024–2026,https://www.khanyisa.online/educare/syllabus/form5/EGCSE%206880%20Syllabus%20-%20Mathematics%202024%20-2026-1657607285.pdf,6880,October/November 2021,2,3(a),4,https://www.khanyisa.online/educare/exampapers/form5/2021/EGCSE%20Mathematics%202021%20Question%20Paper%202-1662016949.pdf#page=4
M02,"Place value, estimation & accuracy",maths,2,2024–2026,https://www.khanyisa.online/educare/syllabus/form5/EGCSE%206880%20Syllabus%20-%20Mathematics%202024%20-2026-1657607285.pdf,6880,October/November 2021,2,5(a),6,https://www.khanyisa.online/educare/exampapers/form5/2021/EGCSE%20Mathematics%202021%20Question%20Paper%202-1662016949.pdf#page=6
M03,Operations with fractions & decimals,maths,3,2024–2026,https://www.khanyisa.online/educare/syllabus/form5/EGCSE%206880%20Syllabus%20-%20Mathematics%202024%20-2026-1657607285.pdf,6880,October/November 2021,3,3,2,https://www.khanyisa.online/educare/exampapers/form5/2021/EGCSE%20Mathematics%202021%20Question%20Paper%203-1662016962.pdf#page=2
M04,Percentages,maths,4,2024–2026,https://www.khanyisa.online/educare/syllabus/form5/EGCSE%206880%20Syllabus%20-%20Mathematics%202024%20-2026-1657607285.pdf,6880,October/November 2021,2,3(b),4,https://www.khanyisa.online/educare/exampapers/form5/2021/EGCSE%20Mathematics%202021%20Question%20Paper%202-1662016949.pdf#page=4
M05,Money & household finance,maths,5,2024–2026,https://www.khanyisa.online/educare/syllabus/form5/EGCSE%206880%20Syllabus%20-%20Mathematics%202024%20-2026-1657607285.pdf,6880,October/November 2021,1,5,4,https://www.khanyisa.online/educare/exampapers/form5/2021/EGCSE%20Mathematics%202021%20Question%20Paper%201-1662016885.pdf#page=4
M06,Ratio & proportion,maths,6,2024–2026,https://www.khanyisa.online/educare/syllabus/form5/EGCSE%206880%20Syllabus%20-%20Mathematics%202024%20-2026-1657607285.pdf,6880,October/November 2021,1,11,7,https://www.khanyisa.online/educare/exampapers/form5/2021/EGCSE%20Mathematics%202021%20Question%20Paper%201-1662016885.pdf#page=7
M07,Indices,maths,7,2024–2026,https://www.khanyisa.online/educare/syllabus/form5/EGCSE%206880%20Syllabus%20-%20Mathematics%202024%20-2026-1657607285.pdf,6880,October/November 2021,2,"1(b), 1(d)",2,https://www.khanyisa.online/educare/exampapers/form5/2021/EGCSE%20Mathematics%202021%20Question%20Paper%202-1662016949.pdf#page=2
M08,Standard form,maths,8,2024–2026,https://www.khanyisa.online/educare/syllabus/form5/EGCSE%206880%20Syllabus%20-%20Mathematics%202024%20-2026-1657607285.pdf,6880,October/November 2021,1,4(a),3,https://www.khanyisa.online/educare/exampapers/form5/2021/EGCSE%20Mathematics%202021%20Question%20Paper%201-1662016885.pdf#page=3
M09,"Shapes, angles & similarity",maths,9,2024–2026,https://www.khanyisa.online/educare/syllabus/form5/EGCSE%206880%20Syllabus%20-%20Mathematics%202024%20-2026-1657607285.pdf,6880,October/November 2021,1,16,12,https://www.khanyisa.online/educare/exampapers/form5/2021/EGCSE%20Mathematics%202021%20Question%20Paper%201-1662016885.pdf#page=12
